smiles,fgs
CC(C)NCC(O)COc1cccc2ccccc12.[Cl],"{'Secondary hydroxyl': [(6, 5)], 'Alkylarylether': [(8, 9, 7)], 'Secondary aliphatic amine': [(3,)], 'Halogen multi subst': [(19,)], 'Benzene': [(9, 10, 11, 12, 13, 18), (13, 14, 15, 16, 17, 18)]}"
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,"{'Alkylchloride': [(17, 16), (20, 19)], 'Tertiary mixed amine': [(14,)], 'Carboxylic ester': [(5, 6, 4, 1)], 'Benzene': [(10, 11, 12, 13, 21, 22)]}"
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"{'Alkylarylether': [(3, 4, 2)], 'Carboxylic acid': [(20, 21, 22)], 'Arylfluoride': [(14, 13)], 'Oxoarene': [(17, 18)], 'piperazine': [(7, 8, 9, 11, 12, 6)], 'quinoline': [(13, 5, 4, 25, 24, 23, 19, 17, 16, 15)]}"
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,"{'Alkylarylether': [(7, 8, 6)], 'Secondary amide': [(1, 2, 3, 4)], 'Benzene': [(8, 9, 10, 11, 12, 20)], 'piperidine': [(17, 16, 15, 14, 19, 18)]}"
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,"{'Dialkylthioether': [(21, 20, 22)], 'Carboxylic acid': [(26, 27, 28)], 'Secondary amide': [(13, 14, 15, 16)], 'Arylchloride': [(11, 10)], 'Benzene': [(5, 6, 7, 8, 9, 10)], 'azetidin-2-one': [(18, 17, 16, 20, 19)], 'isoxazole': [(12, 4, 3, 2, 1)]}"
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,"{'Alkene': [(17, 21)], 'Dialkylthioether': [(31, 30, 32)], 'Alkylarylthioether': [(23, 24, 22)], 'Carboxylic acid': [(18, 19, 20)], 'Amide': [(40, 41, 5)], 'Secondary amide': [(10, 11, 12, 13)], 'Lactam': [(40, 42, 43, 2)], 'Urea': [(5, 6, 7, 8)], 'Phenol': [(37, 36)], 'Benzene': [(33, 34, 35, 36, 38, 39)], 'azetidin-2-one': [(15, 14, 13, 32, 16)], 'tetrazole': [(24, 25, 26, 27, 28)], 'piperazine': [(3, 4, 5, 40, 42, 2)]}"
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,"{'Alkene': [(6, 7)], 'Hydroxy': [(8,)], 'Tertiary hydroxyl': [(19, 18), (34, 32)], 'Tertiary aliphatic amine': [(1,)], 'Ketone': [(3, 4, 5, 6), (6, 16, 17, 18), (18, 20, 21, 22)], 'Aminal': [(9, 7, 10, 11, 12), (9, 7, 10, 11, 15)], 'Enol': [(24, 23, 22)], 'Phenol': [(27, 26)], 'Benzene': [(25, 26, 28, 29, 30, 31)], 'pyrrolidine': [(13, 14, 15, 11, 12)]}"
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,"{'Ketone': [(7, 20, 21, 11)], 'imidazole': [(3, 4, 5, 1, 2)], '1H-indole': [(14, 15, 16, 17, 18, 10, 11, 12, 13)]}"
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,"{'Alkylarylether': [(1, 2, 0)], 'Alkylarylthioether': [(7, 8, 6)], 'Tertiary aliphatic amine': [(17,)], 'Carboxylic ester': [(24, 26, 23, 22)], 'Lactam': [(22, 20, 21, 14)], 'Benzene': [(2, 3, 4, 5, 27, 28), (8, 9, 10, 11, 12, 13)]}"
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,"{'Primary aromatic amine': [(11, 10), (14, 13)], 'Carbonyl': [(4, 5)], 'Guanidine': [(0, 1, 3, 2)], 'Arylchloride': [(9, 8)], 'pyrazine': [(6, 13, 12, 10, 8, 7)]}"
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,"{'1,2-Diol': [(11, 9, 12, 13)], 'Lactam': [(24, 25, 26, 1)], 'Arylchloride': [(23, 22)], 'Hetero N nonbasic': [(6,), (14,)], 'Hetero O': [(7,)], 'Benzene': [(18, 19, 20, 21, 22, 24)], 'imidazole': [(3, 4, 15, 16, 17)]}"
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,"{'Alkylfluoride': [(7, 6)], 'Primary hydroxyl': [(10, 9)], 'tetrahydrofuran': [(5, 6, 8, 11, 4)], 'thymine': [(0, 1, 2, 3, 12, 13, 14, 15, 16)]}"
ClCCl,"{'Alkylchloride': [(0, 1), (2, 1)]}"
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,"{'Secondary hydroxyl': [(19, 18)], 'Primary amide': [(33, 35, 34)], 'Secondary amide': [(5, 6, 4, 1), (29, 30, 28, 20), (37, 38, 36, 31)], 'Benzene': [(22, 23, 24, 25, 26, 27)], 'decahydroisoquinoline': [(11, 12, 13, 14, 15, 16, 7, 8, 9, 10)], 'quinoline': [(44, 45, 46, 47, 48, 39, 40, 41, 42, 43)]}"
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,"{'Tertiary aliphatic amine': [(8,)], 'Ketone': [(1, 2, 3, 4)], 'Benzene': [(11, 12, 13, 14, 15, 16), (17, 18, 19, 20, 21, 22)]}"
