smiles,fgs
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,"{'Arylchloride': [(12, 11)], 'Benzene': [(8, 9, 10, 11, 13, 14)], 'piperazine': [(5, 6, 7, 15, 16, 4)], 'benzimidazole': [(20, 21, 22, 23, 1, 2, 17, 18, 19)]}"
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,"{'Dialkylthioether': [(28, 27, 29)], 'Alkylarylether': [(1, 2, 0), (5, 4, 6)], 'Carboxylic acid': [(30, 31, 32)], 'Secondary amide': [(25, 26, 24, 23)], 'Sulfonamide': [(8, 9, 10, 11)], 'Benzene': [(2, 3, 4, 7, 22, 23)], 'tetrahydroquinoline': [(15, 14, 13, 12, 17, 16, 18, 19, 20, 11)]}"
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,"{'Tertiary aliphatic amine': [(12,)], 'Carboxylic ester': [(2, 3, 1, 0)], 'Arylchloride': [(11, 10)], 'Benzene': [(5, 6, 7, 8, 9, 10)], 'thiophene': [(18, 19, 15, 16, 17)]}"
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,"{'1,2-Diol': [(14, 13, 15, 16)], 'Secondary amide': [(1, 0, 2, 3)], 'Lactam': [(3, 17, 18, 11)], 'Arylchloride': [(24, 23)], '6H-thieno[2,3-b]pyrrole': [(19, 20, 21, 22, 23, 25, 26, 27)], 'tetrahydroquinoline': [(7, 8, 9, 10, 5, 6, 4, 3, 17, 11)]}"
Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,"{'Secondary amide': [(9, 10, 8, 7), (21, 22, 23, 24)], 'Nitrile': [(26, 25)], 'Benzene': [(1, 2, 3, 4, 5, 27)], 'pyrazole': [(12, 11, 19, 18, 13)]}"
OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,"{'Alkyne': [(2, 3)], 'Tertiary hydroxyl': [(0, 1)], 'Benzene': [(4, 5, 6, 7, 14, 15), (8, 9, 10, 11, 12, 13)], 'quinuclidine': [(1, 16, 17, 18, 19, 20, 21, 22)]}"
COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,"{'Alkylarylether': [(1, 2, 0), (5, 4, 6)], 'Carboxylic acid': [(32, 33, 34)], 'Secondary amide': [(28, 29, 27, 26)], 'Sulfonamide': [(8, 9, 10, 11)], 'Benzene': [(2, 3, 4, 7, 25, 26), (13, 14, 15, 16, 17, 18)], 'piperidine': [(22, 21, 20, 19, 24, 23)]}"
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,"{'Alkylarylether': [(9, 10, 8)], 'Secondary mixed amine': [(1,)], 'Carboxylic acid': [(27, 28, 29)], 'Secondary amide': [(17, 18, 16, 15)], 'Arylchloride': [(21, 20), (26, 25)], 'Benzene': [(10, 11, 12, 13, 30, 31), (19, 20, 22, 23, 24, 25)], 'pyridine': [(4, 3, 2, 33, 6, 5)]}"
COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,"{'Alkylarylether': [(1, 2, 0), (12, 11, 13), (16, 15, 17)], 'Oxoarene': [(19, 20)], 'Hetero O': [(8,)], 'Benzene': [(2, 3, 4, 5, 21, 22), (9, 10, 11, 14, 15, 18)]}"
Oc1ncnc2scc(-c3ccsc3)c12,"{'Phenol': [(0, 1)], 'thiophene': [(8, 14, 5, 6, 7), (9, 10, 11, 12, 13)], 'pyrimidine': [(14, 1, 2, 3, 4, 5)]}"
