smiles,fgs
Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,"{'Primary aromatic amine': [(13, 12)], 'Secondary amide': [(18, 19, 20, 21)], 'Benzene': [(1, 2, 3, 4, 5, 6)], 'tetrahydropyran': [(21, 22, 23, 24, 25, 28)], 'quinoline': [(7, 8, 9, 10, 11, 12, 14, 29, 30, 31)]}"
CCCO[C@H]1C[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](CCc2ccccc2)N2CC[C@@](CC(C)C)(NC(C)=O)C2=O)C1,"{'Secondary hydroxyl': [(9, 8)], 'Dialkylether': [(3, 2, 4)], 'Secondary amide': [(21, 22, 20, 10), (41, 43, 40, 35)], 'Lactam': [(35, 44, 45, 32)], 'Arylfluoride': [(15, 14), (18, 17)], 'Benzene': [(12, 13, 14, 16, 17, 19), (26, 27, 28, 29, 30, 31)], 'pyrrolidine': [(4, 46, 7, 6, 5), (34, 35, 44, 32, 33)]}"
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,"{'Secondary hydroxyl': [(21, 20)], 'Alkylarylether': [(30, 29, 31)], 'Ammonium': [(23,)], 'Secondary amide': [(9, 10, 11, 12)], 'Sulfonamide': [(37, 38, 39, 35)], 'Benzene': [(14, 15, 16, 17, 18, 19), (25, 26, 27, 28, 29, 32)], '1H-indole': [(8, 7, 6, 5, 4, 3, 2, 34, 33)]}"
CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,"{'Secondary hydroxyl': [(30, 29)], 'Dialkylether': [(2, 1, 3)], 'Alkylarylether': [(5, 6, 4)], 'Primary aromatic amine': [(35, 34)], 'Ammonium': [(17,)], 'Arylfluoride': [(33, 32)], 'Sulfonyl': [(12, 13, 14)], 'Trifluoromethyl': [(37, 36, 38, 39)], 'Benzene': [(6, 7, 8, 31, 32, 34), (19, 20, 21, 22, 23, 28)], 'thiane': [(29, 16, 15, 12, 11, 10)]}"
CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,"{'Secondary hydroxyl': [(21, 20)], 'Ammonium': [(23,)], 'Secondary amide': [(9, 10, 11, 12)], 'Sulfonamide': [(39, 40, 41, 37)], 'Trifluoromethyl': [(31, 30, 32, 33)], 'Benzene': [(14, 15, 16, 17, 18, 19), (25, 26, 27, 28, 29, 34)], '1H-indole': [(8, 7, 6, 5, 4, 3, 2, 36, 35)]}"
CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,"{'Secondary hydroxyl': [(37, 36)], 'Alkylarylether': [(25, 24, 26)], 'Primary aromatic amine': [(23, 22)], 'Ammonium': [(10,)], 'Arylfluoride': [(21, 20)], 'Trifluoromethyl': [(28, 27, 29, 30), (32, 31, 33, 34)], 'Benzene': [(4, 5, 6, 7, 8, 38), (18, 19, 20, 22, 24, 35)], 'thiane': [(36, 16, 15, 13, 12, 11)]}"
CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,"{'Secondary hydroxyl': [(33, 32)], 'Ammonium': [(35,)], 'Secondary amide': [(11, 12, 10, 9), (19, 20, 21, 22)], 'Arylfluoride': [(27, 26), (30, 29)], 'Sulfonyl': [(5, 6, 7)], 'Benzene': [(24, 25, 26, 28, 29, 31), (37, 38, 39, 40, 41, 44)], 'pyridine': [(14, 13, 18, 17, 16, 15)]}"
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)[NH+]=C(N)c4c(F)cccc43)c2)c1,"{'Alkyne': [(1, 2)], 'Imine': [(24, 25)], 'Lactam': [(16, 18, 19, 20)], 'Arylfluoride': [(29, 28)], 'Benzene': [(8, 9, 10, 11, 12, 34), (27, 28, 30, 31, 32, 33)], 'pyridine': [(15, 14, 23, 20, 18, 16), (35, 7, 6, 5, 4, 3)]}"
CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,"{'Secondary hydroxyl': [(12, 11)], 'Alkylarylether': [(40, 5, 36)], 'Ammonium': [(9,)], 'Lactam': [(27, 32, 33, 34), (29, 30, 31, 25)], 'Benzene': [(2, 3, 4, 5, 6, 7), (15, 16, 17, 18, 19, 20)], 'pyridine': [(28, 27, 26, 25, 30, 29)]}"
CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,"{'Secondary hydroxyl': [(12, 11)], 'Ammonium': [(9,)], 'Secondary amide': [(22, 23, 21, 13)], 'Lactam': [(36, 37, 38, 32)], 'Benzene': [(3, 4, 5, 6, 7, 40), (15, 16, 17, 18, 19, 20)], 'piperidine': [(35, 34, 33, 32, 37, 36)]}"
