smiles,fgs
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O.NC(CO)(CO)CO,"{'Alkene': [(8, 9), (13, 14)], 'Alkyne': [(1, 2)], 'Primary hydroxyl': [(29, 28), (31, 30), (33, 32)], 'Secondary hydroxyl': [(7, 6), (25, 24)], 'Primary aliphatic amine': [(26,)], 'Carboxylic acid': [(18, 19, 20)]}"
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],"{'Nitro': [(1, 0, 2), (1, 0, 3), (8, 9, 7), (8, 9, 10), (12, 13, 11), (12, 13, 14)]}"
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,"{'Tertiary aliphatic amine': [(3,)], 'Secondary amide': [(9, 10, 11, 12)], 'Benzene': [(12, 13, 15, 16, 17, 18)]}"
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,"{'Secondary mixed amine': [(21,)], 'Lactam': [(10, 8, 9, 7)], 'Arylchloride': [(18, 17)], 'Sulfonamide': [(13, 15, 16, 14)], 'Benzene': [(1, 2, 3, 4, 5, 6), (10, 11, 12, 17, 19, 20)]}"
Cl.OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,"{'Tertiary hydroxyl': [(1, 2)], 'Benzene': [(12, 13, 14, 15, 16, 17), (18, 19, 20, 21, 22, 23)], 'piperidine': [(9, 8, 7, 6, 11, 10)]}"
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],"{'Alkene': [(6, 7)], 'Secondary hydroxyl': [(13, 12)], 'Tertiary hydroxyl': [(21, 20)], 'Ketone': [(3, 4, 5, 6), (20, 22, 23, 24)], 'Phosphoric monoester': [(26, 27, 28, 29, 25, 24)]}"
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-].[K+],"{'Alkene': [(6, 7), (8, 9)], 'Tertiary hydroxyl': [(20, 19)], 'Ketone': [(3, 4, 5, 6)], 'Carboxylic acid': [(23, 24, 25)]}"
[Xe],{}
Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl,"{'Lactam': [(16, 17, 18, 7)], 'Benzene': [(1, 2, 3, 4, 5, 6)], 'quinazoline': [(14, 13, 12, 11, 10, 8, 7, 17, 16, 15)]}"
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1.Cl,"{'Secondary hydroxyl': [(4, 3)], 'Secondary aliphatic amine': [(1,)], 'Carboxylic ester': [(10, 11, 9, 8), (18, 19, 17, 16)], 'Benzene': [(5, 6, 7, 8, 16, 24)]}"
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,"{'Alkylarylether': [(7, 6, 8)], 'Benzene': [(1, 2, 3, 5, 6, 15)], '2-oxazolidone': [(13, 12, 11, 10, 9, 14)]}"
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,"{'Primary hydroxyl': [(12, 11)], 'Secondary aliphatic amine': [(3,)], 'Nitro': [(14, 15, 16)], 'tetrahydroquinoline': [(10, 13, 17, 18, 8, 9, 7, 6, 5, 19)]}"
Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,"{'Alkyl imide': [(2, 1, 12, 13, 10, 11)], 'piperazine': [(18, 19, 20, 27, 28, 17)], 'pyrimidine': [(24, 23, 22, 21, 26, 25)], '8-azaspiro[4.5]decane-7,9-dione': [(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)]}"
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.O.O.O.O.O.[Cl-],"{'Alkylarylether': [(1, 2, 0), (22, 21, 23)], 'Diarylether': [(7, 8, 9), (26, 27, 28)], 'Tertiary aliphatic amine': [(36,)], 'Ammonium': [(42,)], 'Phenol': [(15, 14), (25, 24)], 'Benzene': [(2, 3, 4, 5, 6, 7), (9, 10, 11, 12, 13, 14), (18, 19, 20, 21, 24, 26), (28, 29, 30, 31, 32, 33)]}"
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,"{'Tertiary hydroxyl': [(21, 19)], 'Lactone': [(6, 4, 5, 3, 2)], 'tetrahydropyran': [(7, 6, 4, 3, 2, 1)]}"
CC(C)(N)Cc1ccc(Cl)cc1.Cl,"{'Primary aliphatic amine': [(3,)], 'Arylchloride': [(9, 8)], 'Benzene': [(5, 6, 7, 8, 10, 11)]}"
C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21.[Br-].[Br-],"{'Ammonium': [(1,), (9,)], 'fluorene': [(15, 16, 17, 18, 13, 14, 12, 24, 23, 22, 21, 20, 19), (28, 29, 30, 31, 26, 27, 25, 37, 36, 35, 34, 33, 32)]}"
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,"{'Alkene': [(24, 25)], 'Enamine': [(8, 6, 5), (8, 9, 11)], 'Carboxylic ester': [(3, 4, 2, 1), (12, 13, 14, 15), (26, 27, 28, 29)], 'Benzene': [(18, 19, 20, 21, 22, 23)]}"
CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,"{'Dialkylether': [(12, 11, 13)], 'Carboxylic ester': [(4, 5, 3, 1)], 'Phosphonic esteramide': [(9, 10, 26, 27, 8)], 'Benzene': [(27, 28, 29, 30, 31, 32)], 'adenine': [(21, 20, 22, 23, 24, 25, 16, 17, 18, 19)]}"
