fgsmi,n,Percentage
[Nar],1594,14.786641929499073
O[Cal],1172,10.871985157699443
[R]O[R],924,8.571428571428571
[R]N([R])[R],738,6.846011131725417
F[R],722,6.6975881261595545
O=C([R])N([R])[R],611,5.667903525046382
Cl[R],473,4.387755102040816
O=C([R])O[R],407,3.7755102040816326
O=C(O)[R],383,3.5528756957328387
O[Car],334,3.098330241187384
[R]N[R],329,3.051948051948052
O=C([R])[R],263,2.439703153988868
C=C,207,1.9202226345083488
O=[Car],195,1.8089053803339519
N[Car],175,1.6233766233766234
N[Cal],173,1.6048237476808906
[R]OCO[R],131,1.215213358070501
[Sar],118,1.0946196660482375
O=S(=O)([R])N([R])[R],99,0.9183673469387755
[R]I,98,0.9090909090909091
[R]S[R],98,0.9090909090909091
[Oar],90,0.8348794063079777
O=C(O[R])N([R])[R],85,0.7884972170686456
[R][N+]([R])([R])[R],83,0.7699443413729128
C#N,59,0.5473098330241187
C=CC(=O)C=C,58,0.5380333951762524
C=CC(=O)[R],45,0.4174397031539889
[R]Br,44,0.40816326530612246
O=[N+]([O-])[R],42,0.38961038961038963
O=C(N([R])[R])N([R])[R],41,0.3803339517625232
C#C,34,0.31539888682745826
[R]N=CN([R])[R],30,0.2782931354359926
O=C([R])N([R])CS[R],29,0.2690166975881262
[R]N=C(N([R])[R])N([R])[R],24,0.22263450834879406
C=C(C(=O)O)N(CS[R])C(=O)[R],23,0.21335807050092764
O=S(=O)(O)[R],23,0.21335807050092764
O=C([R])N([R])C(=O)[R],21,0.19480519480519481
C=CC(=O)N([R])[R],19,0.17625231910946196
O=S(=O)([R])[R],19,0.17625231910946196
O=P(O)(O)O[R],18,0.16697588126159554
[Nar+],18,0.16697588126159554
O=C(C=NO[R])N([R])[R],18,0.16697588126159554
O=P(O)(O)[R],18,0.16697588126159554
C=N[R],17,0.15769944341372913
O=C1[R]C(=O)N([R])C(=O)N1[R],15,0.1391465677179963
S[R],15,0.1391465677179963
C=CC(=O)O[R],15,0.1391465677179963
OCO[R],15,0.1391465677179963
[O-][S+]([R])[R],14,0.12987012987012986
O=C([R])N([R])S(=O)(=O)[R],14,0.12987012987012986
C=CC=C,13,0.12059369202226346
O=C([R])C=CO,13,0.12059369202226346
O=[N+]([O-])O[R],12,0.11131725417439703
O=C([R])C(=CO)C(=O)N([R])[R],11,0.10204081632653061
O=C(C=CN([R])C=CC(=O)O[R])O[R],11,0.10204081632653061
C=CC=CC=C,11,0.10204081632653061
C=CC=CC(=O)[R],11,0.10204081632653061
O=C(N([R])[R])N([R])S(=O)(=O)[R],10,0.09276437847866419
C1CO1,10,0.09276437847866419
O=C([R])N([R])N([R])[R],9,0.08348794063079777
O=S(=O)([R])N([R])CN([R])[R],8,0.07421150278293136
[R]N=N[R],8,0.07421150278293136
O=CN([R])[R],7,0.06493506493506493
[R]N=C(N([R])[R])N([R])C(=N[R])N([R])[R],7,0.06493506493506493
[R]OCS[R],6,0.055658627087198514
C=NO[R],6,0.055658627087198514
[R]N([R])N([R])[R],6,0.055658627087198514
O=S(=O)(O)O[R],5,0.04638218923933209
O=C(C(=CO)N([R])S(=O)(=O)[R])N([R])[R],5,0.04638218923933209
O=C(C(=O)N([R])[R])C(O)O[R],5,0.04638218923933209
C=CC(=O)O,5,0.04638218923933209
O=C([R])OCOC(=O)[R],5,0.04638218923933209
O=C([R])S[R],5,0.04638218923933209
O=C([R])N(O)[R],5,0.04638218923933209
C=COC(O[R])C(=O)[R],5,0.04638218923933209
C=C(C(=O)[O-])N(CS[R])C(=O)[R],5,0.04638218923933209
C=CC=CC(=O)N([R])[R],4,0.03710575139146568
