smiles,fgs,fgsmi,fgmol
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],"[{0, 1, 2, 3}, {8, 9, 10, 7}, {11, 12, 13, 14}]","['O=[N+]([O-])O[R]', 'O=[N+]([O-])O[R]', 'O=[N+]([O-])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5930>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5a80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5700>]"
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,"[{9, 10, 11}, {3}]","['O=C([R])N([R])[R]', '[R]N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5cb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5c40>]"
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,"[{21, 22, 7, 8, 9}, {16, 13, 14, 15}, {18}]","['O=C([R])N([R])CN([R])[R]', 'O=S(=O)([R])N([R])[R]', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5af0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5d20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5bd0>]"
[Xe],,,
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,"[{7}, {11, 12, 13, 14}]","['[R]O[R]', 'O=C(O[R])N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5770>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5fc0>]"
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,"[{3}, {12}, {16, 14, 15}, {19}]","['[R]N[R]', 'O[Cal]', 'O=[N+]([O-])[R]', '[R]N[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6110>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5690>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a59a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5850>]"
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,"[{21}, {3, 4, 5}]","['O[Cal]', 'O=C([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6180>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a60a0>]"
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,"[{2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14}, {24, 25, 26, 27, 28}]","['O=C(C=CN([R])C=CC(=O)O[R])O[R]', 'C=CC(=O)O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a63b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5d90>]"
CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,"[{3, 4, 5}, {8, 9, 10, 26}, {12}, {21}, {16}, {18}, {22}, {24}]","['O=C([R])O[R]', 'O=P([R])(O[R])N([R])[R]', '[R]O[R]', 'N[Car]', '[Nar]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a62d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6500>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a68f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5e70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a58c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6960>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a69d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5ee0>]"
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,"[{0, 1}, {8, 9, 10, 7}, {20, 21, 23}, {24, 26}]","['C=C', 'C=CC(=O)[R]', 'O=C([R])O[R]', 'O=C([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a65e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6810>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6030>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a67a0>]"
